m.019s2q	Hal Hartley	m.0y8qs	Lindenhurst	people.person.place_of_birth
m.04yfjx	Simon Yam	m.03h64	Hong Kong	people.person.place_of_birth,people.person.nationality
m.0gmrk4	Paul Rogers	m.03wp9c	Plympton	people.person.place_of_birth
m.01r9fv	Pat Benatar	m.02372m	Greenpoint	people.person.place_of_birth
m.016kkx	James Garner	m.0z4_0	Norman	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.02ryx0	Dave Grusin	m.0g8lsf	Littleton	people.person.place_of_birth
m.02dbp7	David Foster	m.07ypt	Victoria	people.person.place_of_birth,people.person.places_lived..people.place_lived.location,music.artist.origin
m.07n36b	Alexander Sokurov	m.07016gz	Podorwikha	people.person.place_of_birth
m.085lpk	Meena Kumari	m.04vmp	Mumbai	people.person.place_of_birth,people.deceased_person.place_of_death
m.090g2ng	Paul Aulicino	m.0l1pj	Van Nuys	people.person.place_of_birth
m.01ycfv	Michael Kamen	m.02_286	New York City	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.0h1ngw	Pietro Germi	m.0hknf	Genoa	people.person.place_of_birth,people.person.spouse_s..people.marriage.location_of_ceremony
m.040mtk	Wolfgang Puck	m.02ph4_g	Sankt Veit an der Glan	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.0kb3n	Mario Puzo	m.0cc56	Manhattan	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.02t_st	Greg Kinnear	m.0skc1	Logansport	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.09p0q	Don Siegel	m.01_d4	Chicago	people.person.place_of_birth
m.01vk80m	Linda Lavin	m.0c4kv	Portland	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.0fq7hgw	Paul Sparks	m.0z53k	Lawton	people.person.place_of_birth
m.0bjjws	Roxanne McKee	m.0d060g	Canada	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.04164q8	Carl Paoli	m.01_d4	Chicago	people.person.place_of_birth
m.02z5fcr	Lin-Manuel Miranda	m.0cc56	Manhattan	people.person.place_of_birth
m.02lfl4	Tony Sirico	m.02qk7r	Midwood	people.person.place_of_birth
m.0738b8	David Cross	m.013yq	Atlanta	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.0lx47	Randy Bachman	m.0pmq2	Winnipeg	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.01_x6v	Trey Parker	m.02cl1	Denver	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.022yb4	Jimmy Smits	m.0cr3d	Brooklyn	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.036dyy	Zach Braff	m.0207496	South Orange	people.person.place_of_birth
m.018144	Jimmy Cliff	m.06qrcv	Saint James Parish	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.055jj1	Ellen Corby	m.0118d3	Racine	people.person.place_of_birth
m.01js298	Francis Lai	m.0cp6w	Nice	people.person.place_of_birth
m.018p4y	Pierce Brosnan	m.0dztt	Drogheda	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.01t265	Hal Roach	m.01mb87	Elmira	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.0hsn_	Jessica Lange	m.0vvxw	Cloquet	people.person.place_of_birth
m.012_6c	Smokey Robinson	m.02dtg	Detroit	music.artist.origin,people.person.place_of_birth
m.03mstc	William Hanna	m.0xtww	Melrose	people.person.place_of_birth
m.01k_f2	Andy Gibb	m.0xhj2	Manchester	people.person.place_of_birth
m.06qqft	Alexander Gould	m.030qb3t	Los Angeles	people.person.place_of_birth
m.02jt1k	Angela Bassett	m.0f94t	Harlem	people.person.place_of_birth
m.054k_8	Donnie Yen	m.0393g	Guangzhou	people.person.place_of_birth
m.06qwt4	Bruce Vilanch	m.02_286	New York City	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.03zyvw	Nancy Marchand	m.019fh	Buffalo	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.0169dl	Matt Damon	m.01qh7	Cambridge	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.01m42d0	Telly Savalas	m.0y2bp	Garden City	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.01d0fp	Kim Basinger	m.019k6n	Athens	people.person.place_of_birth
m.03374t	Athol Fugard	m.03ch44h	Middelburg, Eastern Cape	people.person.place_of_birth
m.07p8g	Thomas Vinterberg	m.01lfy	Copenhagen	people.person.place_of_birth
m.06mn7	Stanley Kubrick	m.01531	The Bronx	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.0b78hw	Noam Chomsky	m.080m7n	East Oak Lane	people.person.place_of_birth
m.01wyz92	Lil' Kim	m.04z24x	Bedford-Stuyvesant	people.person.place_of_birth
m.04373b	Bobby Bare	m.0yzj3	Ironton	people.person.place_of_birth,music.artist.origin
m.04kwbt	Griffin Dunne	m.02_286	New York City	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.02hz8h	Josie Ho	m.03h64	Hong Kong	people.person.place_of_birth,people.person.nationality
m.02z3qm	Evert Taube	m.0343_	Gothenburg	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.03gynb	Valery Gergiev	m.04swd	Moscow	people.person.place_of_birth
m.05ppjq	Daniel Olbrychski	m.0228k6	Łowicz	people.person.place_of_birth
m.015gy7	Melvyn Douglas	m.0rt80	Macon	people.person.place_of_birth
m.05ml_s	Timothy Olyphant	m.02hrh0_	Honolulu	people.person.place_of_birth
m.03yf9d	Olga Tañón	m.0fw4v	San Juan	people.person.places_lived..people.place_lived.location,people.person.place_of_birth,music.artist.origin
m.07k2p6	Holland Taylor	m.0dclg	Philadelphia	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.01vs73g	Rodney Jerkins	m.010cmt	Pleasantville	people.person.place_of_birth,music.artist.origin
m.0fzpqn	George Nader	m.0mzww	Pasadena	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.02p54n	Angus Young	m.0hyxv	Glasgow	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.01m0w5f	Krayzie Bone	m.01sn3	Cleveland	people.person.place_of_birth,people.person.places_lived..people.place_lived.location,music.artist.origin
m.01v3rs	Werner Klemperer	m.01v8c	Cologne	people.person.place_of_birth
